,"90: New, large batteries to store energy from wind and solar:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: A new train station:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: A new onshore wind farm:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: New pylons and power lines for carrying electricity:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: A new solar farm:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? ","90: New homes:Would you support or oppose plans to build the following 3 miles from your home, if some of the profits were managed by a local charity? "
3773,Somewhat support,Somewhat oppose,Somewhat support,Neither support nor oppose,Somewhat support,Neither support nor oppose
3783,nan,nan,nan,nan,nan,nan
3787,nan,nan,nan,nan,nan,nan
3790,nan,nan,nan,nan,nan,nan
3816,Strongly support,Strongly support,Strongly oppose,Strongly oppose,Strongly support,Strongly oppose
3823,nan,nan,nan,nan,nan,nan
3826,nan,nan,nan,nan,nan,nan
3839,Neither support nor oppose,Don’t know,Somewhat support,Neither support nor oppose,Neither support nor oppose,Somewhat support
3859,nan,nan,nan,nan,nan,nan
3870,Neither support nor oppose,Strongly oppose,Somewhat oppose,Somewhat oppose,Neither support nor oppose,Somewhat oppose
3871,nan,nan,nan,nan,nan,nan
3905,nan,nan,nan,nan,nan,nan
3906,nan,nan,nan,nan,nan,nan
3923,nan,nan,nan,nan,nan,nan
3944,nan,nan,nan,nan,nan,nan
3945,nan,nan,nan,nan,nan,nan
3949,nan,nan,nan,nan,nan,nan
3958,nan,nan,nan,nan,nan,nan
3968,nan,nan,nan,nan,nan,nan
3984,nan,nan,nan,nan,nan,nan
4004,nan,nan,nan,nan,nan,nan
4008,nan,nan,nan,nan,nan,nan
4010,Somewhat oppose,Neither support nor oppose,Neither support nor oppose,Strongly oppose,Strongly oppose,Neither support nor oppose
